"PlayerName","position","TeamName","TeamNameAbb","teamid","playerid","Bats","xMLBAMID","Season","Age","AgeR","SeasonMin","SeasonMax","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","TTO%","wOBA","wRAA","wRC","Batting","Fielding","Replacement","Positional","wLeague","CFraming","Defense","Offense","RAR","WAR","WAROld","Dollars","BaseRunning","Spd","wRC+","wBsR","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%1","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","CStr%","C+SwStr%","Pull","Cent","Oppo","Soft","Med","Hard","bipCount","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","UBR","GDPRuns","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","LD%+","GB%+","FB%+","HRFB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","xwOBA","xAVG","xSLG","XBR","PPTV","CPTV","BPTV","DSV","DGV","BTV","rPPTV","rCPTV","rBPTV","rDSV","rDGV","rBTV","EBV","ESV","rFTeamV","rBTeamV","rTV","piCH%","piCS%","piCU%","piFA%","piFC%","piFS%","piKN%","piSB%","piSI%","piSL%","piXX%","pivCH","pivCS","pivCU","pivFA","pivFC","pivFS","pivKN","pivSB","pivSI","pivSL","pivXX","piCH-X","piCS-X","piCU-X","piFA-X","piFC-X","piFS-X","piKN-X","piSB-X","piSI-X","piSL-X","piXX-X","piCH-Z","piCS-Z","piCU-Z","piFA-Z","piFC-Z","piFS-Z","piKN-Z","piSB-Z","piSI-Z","piSL-Z","piXX-Z","piwCH","piwCS","piwCU","piwFA","piwFC","piwFS","piwKN","piwSB","piwSI","piwSL","piwXX","piwCH/C","piwCS/C","piwCU/C","piwFA/C","piwFC/C","piwFS/C","piwKN/C","piwSB/C","piwSI/C","piwSL/C","piwXX/C","piO-Swing%","piZ-Swing%","piSwing%","piO-Contact%","piZ-Contact%","piContact%","piZone%","piPace","Events","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Q","TG","TPA","Pos"
"Aaron Judge","OF","NYY","NYY",9,15640,"R",592450,2024,32,"32 - 32",2024,2024,158,559,704,180,85,36,1,58,122,144,133,20,171,9,2,0,22,10,0,0.322,119,180,91,10,2887,1252,1635,10,0,0,0.189,0.243,0.778,0.458,0.701,1.159,0.379,0.367,0.661,0.233,0.305,0.462,0.056,0.322,0.084,0,0.514,0.476,93.807,176.16,95.394,-6.445,21.287,-3.431,2.181,NA,-9.876,94.956,108.548,11.211,11.302,89.685,-0.438,3.92,218.425,0.366,6.172,-9.348,15.52,96.762,10.102,0.921,NA,0,9.473,-2.775,0.438,94.638,0.267,84.805,0.091,89.498,0.067,80.655,0.106,85.637,0.031,86.607,NA,NA,0.025,NA,48.396,18.839,6.162,1.335,5.172,5.86,NA,3.826,2.45,2.343,0.688,1.696,6.584,NA,0.213,0.719,0.42,0.489,0.807,0.712,0.41,0.518,0.121,0.146,0.267,156,136,98,28,176,186,391,0.4,0.349,0.251,0.072,0.451,0.477,-0.2,-0.6,134.327,232.531,107.618,148.297,177.757,245.019,128.672,119.675,73.565,118.266,284.218,98.008,99.347,104.326,44.302,85.466,153.887,0.484,0.315,0.742,-0.804,2,0,0,0,0,0,0.163,NA,NA,NA,NA,NA,2,0,0.163,0,0.163,0.108,NA,0.057,0.267,0.093,0.028,NA,NA,0.168,0.28,NA,85.679,NA,79.939,94.9,89.882,86.471,NA,NA,94.196,84.717,NA,0.47,NA,2.615,-1.635,1.22,-5.335,NA,NA,-4.633,3.644,NA,1.741,NA,-7.821,8.464,3.769,0.851,NA,NA,3.254,-0.451,NA,5.647,NA,0.456,27.365,4.401,5.698,NA,NA,19.292,22.235,NA,1.81,NA,0.28,3.559,1.648,7.122,NA,NA,3.986,2.755,NA,0.173,0.67,0.42,0.376,0.801,0.713,0.497,18.992,391,96.229,18.888,105,0.269,117.516,238,0.609,4.346,162,704,0.258
"Bobby Witt Jr.","SS","KCR","KCR",7,25764,"R",677951,2024,24,"24 - 24",2024,2024,161,636,709,211,123,45,11,32,125,109,57,9,106,8,8,0,4,31,12,0.332,199,239,100,26,2602,913,1689,21,0,0,0.08,0.15,0.538,0.389,0.588,0.977,0.256,0.354,0.833,0.186,0.37,0.444,0.109,0.134,0.106,0,0.275,0.41,56.813,139.751,54.792,10.468,21.438,7.061,2.197,NA,17.529,59.319,100.483,10.378,9.957,83.021,4.527,7.202,167.54,-0.073,4.986,-10.365,15.352,63.745,6.319,0.941,NA,0,5.7,-0.399,0.442,94.43,0.277,85.095,0.09,89.742,0.08,80.679,0.078,84.764,0.033,86.384,NA,NA,0.009,NA,28.126,20.251,4.122,1.29,-0.534,8.227,NA,2.446,2.817,1.769,0.617,-0.263,9.567,NA,0.354,0.748,0.512,0.7,0.884,0.808,0.4,0.615,0.098,0.138,0.236,189,207,142,79,269,190,538,0.351,0.385,0.264,0.147,0.5,0.353,1.4,-0.3,138.398,98.953,66.24,126.036,149.062,165.579,123.87,95.333,89.179,113.833,118.1,86.076,109.615,109.582,90.611,94.692,113.953,0.413,0.321,0.594,4.6,2,0,0,0,0,0,0.098,NA,NA,NA,NA,NA,2,0,0.098,0,0.098,0.078,NA,0.068,0.282,0.092,0.03,NA,NA,0.154,0.295,NA,84.664,NA,80.817,94.698,90.647,86.395,NA,NA,94.039,84.988,NA,-1.505,NA,2.58,-1.827,1.111,-4.797,NA,NA,-6.505,3.354,NA,2.388,NA,-6.355,8.403,4.135,1.288,NA,NA,3.691,-0.335,NA,2.542,NA,1.52,9.411,3.458,6.038,NA,NA,18.148,20.231,NA,1.252,NA,0.854,1.286,1.447,7.642,NA,NA,4.537,2.634,NA,0.309,0.711,0.511,0.647,0.875,0.806,0.503,19.142,538,92.732,15.127,77,0.143,116.885,259,0.481,4.377,162,709,0.006
"Shohei Ohtani","DH","LAD","LAD",22,19755,"L",660271,2024,29,"29 - 29",2024,2024,159,636,731,197,98,38,7,54,134,130,81,10,162,6,5,0,7,59,4,0.31,172,193,113,10,2838,1087,1751,10,1,0,0.111,0.222,0.5,0.39,0.646,1.036,0.336,0.336,0.891,0.236,0.36,0.404,0.052,0.28,0.058,0,0.406,0.431,70.82,156.331,70.94,NA,22.103,-17.176,2.24,NA,-17.176,80.69,87.857,9.074,8.957,72.589,9.75,8.106,181.154,8.799,7.307,-11.061,18.368,81.445,8.387,0.982,NA,0,7.961,-0.519,0.441,94.262,0.221,84.858,0.096,89.871,0.078,80.869,0.111,86.513,0.048,87.263,0.005,77.214,0.014,NA,31.691,14.174,1.078,9.167,8.223,8.181,0.156,2.531,2.261,0.396,4.129,2.619,5.971,1.116,0.305,0.705,0.472,0.594,0.82,0.735,0.418,0.602,0.125,0.144,0.269,203,166,110,51,216,212,482,0.424,0.347,0.23,0.106,0.451,0.443,-1,0.5,125.485,134.47,98.112,123.711,159.99,214.214,113.881,119.476,83.676,108.509,234.386,105.018,98.347,94.089,66.765,85.909,140.226,0.448,0.32,0.678,0.952,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.11,0,0.073,0.283,0.099,0.045,0.005,NA,0.157,0.228,NA,86.518,67.988,80.861,94.989,90.153,86.81,77.255,NA,93.07,84.789,NA,-5.485,2.226,2.594,-1.833,0.445,-4.885,-4.647,NA,0.786,-0.366,NA,1.712,-6.255,-6.881,7.829,3.715,1.126,-5.457,NA,3.269,-0.211,NA,8.812,0.09,8.829,16.584,0.53,7.339,0.163,NA,12.526,14.553,NA,2.833,8.98,4.245,2.063,0.189,5.778,1.167,NA,2.815,2.249,NA,0.256,0.686,0.473,0.497,0.822,0.735,0.505,18.264,482,95.804,16.213,103,0.214,119.207,287,0.595,4.512,162,731,1
"Juan Soto","OF","NYY","NYY",9,20123,"L",665742,2024,25,"25 - 25",2024,2024,157,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,10,7,4,0.288,199,164,93,14,2969,1306,1663,6,5,4,0.181,0.167,1.084,0.419,0.569,0.989,0.281,0.298,1.213,0.204,0.436,0.36,0.085,0.25,0.03,0.8,0.405,0.421,63.358,146.763,64.966,1.291,21.559,-7.38,2.209,NA,-6.089,61.141,78.82,8.14,8.2,65.123,-3.825,4.301,179.632,-1.964,5.981,-9.091,15.072,69.944,7.308,0.864,0.746,1,7.469,-0.544,0.404,94.168,0.217,84.668,0.105,89.51,0.086,80.134,0.14,86.552,0.047,86.493,NA,NA,0.006,NA,39.157,4.292,7.34,7.777,7.09,2.043,NA,3.271,0.668,2.353,3.062,1.709,1.459,NA,0.213,0.601,0.369,0.674,0.864,0.799,0.402,0.541,0.074,0.189,0.263,208,160,93,58,205,198,461,0.451,0.347,0.202,0.126,0.445,0.43,-1,-0.4,120.223,222.691,73.947,135.773,144.346,181.705,104.214,104.603,105.215,92.158,220.514,110.552,98.878,83.756,77.636,84.217,138.585,0.463,0.319,0.658,-1.861,7,0,2,0,0,0,0.277,NA,-0.224,NA,NA,NA,7,2,0.277,-0.224,0.053,0.149,NA,0.084,0.23,0.108,0.039,NA,NA,0.167,0.223,NA,86.679,NA,80.008,94.431,90.039,85.977,NA,NA,93.723,84.609,NA,-6.315,NA,2.678,-2.227,0.785,-6.735,NA,NA,-0.417,-0.213,NA,1.288,NA,-7.555,8.467,4.012,1.446,NA,NA,3.524,-0.571,NA,6.377,NA,8.727,18.635,7.791,3.029,NA,NA,17.03,3.589,NA,1.446,NA,3.519,2.736,2.435,2.657,NA,NA,3.454,0.545,NA,0.18,0.578,0.369,0.611,0.862,0.797,0.474,19.045,461,94.183,10.68,91,0.197,115.731,262,0.568,4.401,162,713,0.032
"Gunnar Henderson","3B/SS","BAL","BAL",2,26289,"L",683002,2024,23,"23 - 23",2024,2024,159,630,719,177,102,31,7,37,118,92,78,1,159,7,4,0,2,21,4,0.281,222,155,98,12,2903,1137,1766,18,0,0,0.108,0.221,0.491,0.364,0.529,0.893,0.248,0.32,1.432,0.206,0.467,0.326,0.077,0.239,0.081,0,0.381,0.381,41.253,125.36,45.038,-2.189,21.74,6.903,2.228,NA,4.714,49.004,77.686,8.023,7.746,64.186,3.966,6.711,154.745,1.112,3.025,-10.003,13.027,34.162,3.736,0.879,NA,0,3.245,0.198,0.489,93.945,0.176,84.301,0.091,89.251,0.072,79.469,0.134,86.426,0.038,85.946,NA,NA,0.004,NA,8.524,13.286,7.12,8.657,5.535,0.547,NA,0.602,2.6,2.707,4.142,1.43,0.493,NA,0.262,0.686,0.442,0.623,0.858,0.778,0.426,0.556,0.098,0.167,0.265,186,179,110,64,205,206,475,0.392,0.377,0.232,0.135,0.432,0.434,0.4,0.4,117.202,133.526,97.978,117.979,133.985,159.978,111.922,105.818,112.681,83.616,210.555,95.945,107.359,96.146,83.142,81.735,139.935,0.379,0.289,0.505,2.854,6,0,1,0,0,0,0.717,NA,-0.039,NA,NA,NA,6,1,0.717,-0.039,0.678,0.132,NA,0.072,0.321,0.088,0.039,NA,NA,0.161,0.188,NA,86.424,NA,79.365,94.464,89.436,85.795,NA,NA,93.319,84.549,NA,-7.283,NA,4.15,-1.565,0.784,-5.328,NA,NA,-0.809,0.146,NA,1.517,NA,-7.947,8.338,3.71,0.787,NA,NA,2.821,-0.37,NA,5.81,NA,8.206,2.603,4.314,1.51,NA,NA,3.836,16.876,NA,1.525,NA,3.945,0.28,1.692,1.349,NA,NA,0.822,3.102,NA,0.238,0.64,0.442,0.555,0.855,0.776,0.508,18.07,475,92.805,9.215,53,0.112,113.101,256,0.539,4.438,162,719,0.013
"Francisco Lindor","SS","NYM","NYM",25,12916,"B",596019,2024,30,"30 - 30",2024,2024,152,618,689,169,96,39,1,33,107,91,56,0,127,12,3,0,7,29,4,0.273,170,213,110,16,2716,978,1738,13,1,1,0.081,0.184,0.441,0.344,0.5,0.844,0.227,0.295,0.798,0.223,0.345,0.432,0.075,0.155,0.076,1,0.313,0.363,29.228,109.826,30.837,10.783,20.833,6.639,2.111,NA,17.422,34.834,75.201,7.767,7.91,62.132,3.997,5.651,137.427,2.886,4.439,-10.695,15.134,35.041,3.772,0.96,2.503,1,3.294,1.328,0.496,93.926,0.156,85.149,0.084,89.229,0.106,79.902,0.118,86.066,0.038,86.893,0.002,76,0.001,NA,14.301,10.019,0.005,2.328,2.651,1.599,-0.211,1.062,2.363,0.002,0.808,0.831,1.553,-4.223,0.305,0.715,0.485,0.662,0.854,0.786,0.439,0.602,0.103,0.153,0.256,224,168,102,61,252,181,494,0.453,0.34,0.206,0.123,0.51,0.366,1.6,0.1,110.785,98.634,81.603,109.082,123.788,144.222,99.849,112.765,80.187,116.11,129.787,112.364,96.51,84.597,77.431,97.184,116.086,0.382,0.287,0.539,1.112,3,0,0,0,0,0,0.104,NA,NA,NA,NA,NA,3,0,0.104,0,0.104,0.121,0,0.104,0.371,0.087,0.033,0.002,NA,0.119,0.163,NA,86.18,78.55,79.576,94.387,90.063,86.201,75.906,NA,93.194,85.116,NA,-3.438,6.275,3.547,-2.149,0.371,-3.926,-2.882,NA,-3.342,2.461,NA,1.751,-9.877,-6.935,8.099,3.99,1.474,-3.306,NA,3.143,-0.027,NA,5.416,-0.039,3.235,7.636,-0.513,0.339,-0.213,NA,5.229,9.28,NA,1.661,-3.936,1.155,0.763,-0.218,0.381,-4.268,NA,1.634,2.104,NA,0.285,0.661,0.484,0.607,0.855,0.786,0.53,18.396,494,90.889,17.046,66,0.134,112.725,234,0.474,4.253,162,689,0.007
"Jarren Duran","OF","BOS","BOS",3,24617,"L",680776,2024,27,"27 - 27",2024,2024,160,671,735,191,108,48,14,21,111,75,54,1,160,6,3,1,6,34,7,0.285,237,179,93,15,2848,1016,1832,20,6,1,0.073,0.218,0.338,0.342,0.492,0.834,0.207,0.345,1.324,0.183,0.466,0.352,0.084,0.117,0.084,0.167,0.32,0.357,27.62,113.598,24.408,9.675,22.224,-1.754,2.277,NA,7.921,32.773,65.196,6.733,6.182,53.866,8.365,7.983,129.023,2.647,2.294,-11.656,13.95,22.192,2.249,0.918,NA,0,3.125,-0.624,0.513,93.849,0.19,84.046,0.089,90.024,0.085,80.195,0.089,86.877,0.033,86.054,0.002,75.2,0.003,NA,16.341,2.205,3.549,5.434,7.25,-0.944,1.26,1.121,0.408,1.403,2.255,2.866,-1.015,25.192,0.312,0.708,0.482,0.602,0.887,0.781,0.429,0.585,0.105,0.161,0.266,166,196,153,82,258,175,515,0.322,0.381,0.297,0.159,0.501,0.34,-0.5,0.2,118.745,90.429,96.448,110.716,124.665,133.834,120.744,93.711,112.259,90.113,103.481,78.978,108.425,123.344,98.252,94.876,109.644,0.346,0.28,0.464,5.718,4,0,0,0,1,0,0.261,NA,NA,NA,0.158,NA,4,0,0.419,0,0.419,0.092,NA,0.078,0.363,0.097,0.03,0.002,0,0.142,0.196,NA,86.481,NA,80.2,94.436,90.519,86.338,75.17,81.534,92.864,83.934,NA,-7.555,NA,3.924,-1.875,0.598,-5.524,-1.569,-4.61,0.803,-0.384,NA,1.575,NA,-7.402,8.323,4.428,0.196,-0.33,-3.41,2.813,-0.573,NA,8.755,NA,7.685,7.861,1.396,-1.344,1.259,-0.223,6.803,0.88,NA,3.342,NA,3.446,0.762,0.506,-1.581,25.185,-22.285,1.688,0.158,NA,0.291,0.656,0.482,0.549,0.874,0.78,0.523,18.294,515,90.781,9.459,47,0.091,113.885,225,0.437,4.537,162,735,0
"José Ramírez","3B","CLE","CLE",5,13510,"B",608070,2024,31,"31 - 31",2024,2024,158,620,682,173,93,39,2,39,114,118,54,12,82,1,6,0,9,41,7,0.279,186,266,92,29,2740,977,1763,16,0,0,0.079,0.12,0.659,0.335,0.537,0.872,0.258,0.265,0.699,0.169,0.342,0.489,0.109,0.147,0.086,0,0.257,0.364,29.695,109.474,32.208,2.876,20.622,-1.557,2.113,NA,1.32,38.514,62.568,6.462,6.285,51.695,6.306,6.627,141.273,4.292,3.426,-10.722,14.148,49.358,5.149,0.955,NA,0,3.887,-0.301,0.382,94.058,0.192,84.823,0.105,89.418,0.099,80.099,0.168,85.928,0.05,87.862,0.003,80.286,0.018,NA,17.041,3.582,-4.015,7.51,8.636,-3.445,-0.033,1.629,0.681,-1.399,2.761,1.877,-2.496,-0.466,0.348,0.706,0.494,0.783,0.922,0.864,0.406,0.545,0.067,0.15,0.217,287,151,106,88,266,190,545,0.528,0.278,0.195,0.162,0.489,0.349,0.3,0.4,116.401,97.457,53.271,108.398,136.146,166.726,92.913,86.739,82.433,125.295,129.324,129.266,79.079,80.898,99.82,92.604,112.696,0.332,0.262,0.46,2.014,4,0,0,1,0,0,0.143,NA,NA,0.038,NA,NA,5,0,0.181,0,0.181,0.178,0,0.099,0.262,0.101,0.036,0.003,NA,0.121,0.2,0.001,86.132,72.109,80.142,94.401,89.701,86.682,80.144,NA,93.741,84.889,89.184,-4.301,4.712,3.101,-2.262,0.413,-5.476,-4.24,NA,-3.095,2.432,-8.851,1.596,-9.364,-7.306,8.102,3.691,1.126,-4.274,NA,3.185,-0.418,-0.009,3.588,0.063,7.469,11.903,-0.775,2.013,-0.074,NA,3.704,0.403,-0.015,0.737,6.337,2.766,1.658,-0.281,2.055,-1.055,NA,1.119,0.074,-0.756,0.317,0.671,0.494,0.741,0.922,0.864,0.501,18.703,545,89.214,19.594,47,0.086,116.564,216,0.396,4.236,161,682,0.203
"Elly De La Cruz","SS","CIN","CIN",18,26668,"B",682829,2024,22,"22 - 22",2024,2024,160,618,696,160,89,36,10,25,105,76,69,2,218,6,1,2,12,67,16,0.259,184,131,82,7,2754,1046,1708,14,6,2,0.099,0.313,0.317,0.339,0.471,0.809,0.212,0.359,1.405,0.207,0.463,0.33,0.053,0.191,0.076,0.333,0.448,0.349,21.55,102.967,14.861,9.582,21.045,7.155,2.133,NA,16.737,22.341,62.256,6.43,6.251,51.437,7.48,8.693,117.856,5.641,-0.369,-12.832,12.463,16.562,1.708,0.97,1.854,1,1.674,-2.054,0.431,93.92,0.168,83.97,0.096,89.265,0.113,80.392,0.15,85.239,0.038,87.24,0.004,78,0.004,NA,21.407,3.093,1.1,-3.739,-0.412,0.009,-0.859,1.805,0.67,0.417,-1.202,-0.099,0.009,-8.587,0.297,0.624,0.429,0.498,0.805,0.679,0.404,0.619,0.138,0.187,0.324,177,138,88,38,216,149,403,0.439,0.342,0.218,0.094,0.536,0.37,0.9,0.4,104.886,120.309,138.666,107.382,116.577,134.95,121.521,104.388,107.777,88.678,159.869,108.836,97.177,89.466,59.128,102.11,117.141,0.331,0.244,0.438,1.839,2,0,1,0,2,0,0.07,NA,-0.039,NA,0.316,NA,2,1,0.386,-0.039,0.347,0.15,NA,0.112,0.316,0.099,0.034,0.004,NA,0.103,0.181,0,85.302,NA,80.577,94.443,90.327,86.766,78.128,NA,92.93,84.095,74.704,-1.497,NA,2.619,-2.022,0.472,-4.886,-1.233,NA,-1.94,1.105,0,1.936,NA,-7.159,7.845,4.084,1.039,-3.497,NA,2.984,-0.543,0,-1.7,NA,-5.584,12.386,-1.041,-0.413,-0.869,NA,12.588,5.084,0.021,-0.411,NA,-1.807,1.424,-0.381,-0.444,-8.686,NA,4.448,1.021,2.105,0.284,0.582,0.429,0.466,0.786,0.677,0.487,18.356,403,91.83,9.723,51,0.127,114.746,184,0.457,4.296,162,696,0
"Ketel Marte","2B","ARI","ARI",15,13613,"B",606466,2024,30,"30 - 30",2024,2024,136,504,583,147,86,23,2,36,93,95,65,7,106,5,9,0,9,7,1,0.292,195,140,70,11,2149,823,1326,10,2,2,0.111,0.182,0.613,0.372,0.56,0.932,0.268,0.299,1.393,0.173,0.481,0.346,0.079,0.257,0.051,1,0.355,0.391,37.924,106.122,35.695,5.555,17.628,-0.777,1.786,NA,4.778,36.617,60.809,6.28,6.2,50.242,0.922,4.32,151.201,-0.181,3.261,-8.478,11.739,39.517,4.047,0.897,1.135,8,3.263,0.371,0.449,94.204,0.16,85.026,0.081,90.192,0.075,80.46,0.176,85.926,0.056,87.207,0.004,78,0.013,NA,28.641,3.665,3.983,7.396,3.051,-5.306,0.114,2.974,1.069,2.302,4.594,0.809,-4.385,1.421,0.293,0.733,0.481,0.674,0.88,0.808,0.428,0.581,0.092,0.135,0.228,211,126,70,44,188,175,407,0.518,0.31,0.172,0.108,0.462,0.43,0.5,0.1,118.16,135.302,80.494,118.036,138.525,170.527,101.264,87.352,111.964,92.899,215.412,128.467,87.855,70.467,67.791,88,136.23,0.395,0.298,0.549,1.103,3,0,0,0,0,0,0.077,NA,NA,NA,NA,NA,3,0,0.077,0,0.077,0.182,NA,0.072,0.313,0.084,0.048,0.004,NA,0.132,0.166,NA,86.046,NA,80.292,94.602,90.653,86.567,77.658,NA,93.598,85.088,NA,-2.452,NA,1.986,-1.096,0.861,-3.897,-2.803,NA,-0.983,0.988,NA,2.165,NA,-6.773,8.022,4.057,0.619,-3.098,NA,3.633,-0.297,NA,2.802,NA,6.645,19.684,7.901,-3.621,0.077,NA,4.771,2.975,NA,0.72,NA,4.287,2.934,4.39,-3.515,0.958,NA,1.692,0.838,NA,0.27,0.687,0.482,0.6,0.885,0.806,0.508,18.428,407,94.125,9.46,50,0.123,117.018,217,0.533,3.599,162,583,0.162
