"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","home_team_parent_org","away_team_parent_org"
"CH",2024-03-31,85,-1.49,5.58,"Daniel, Davis",666165,669721,"strikeout","called_strike",NA,NA,NA,NA,9,"Blake Sabol called out on strikes.","R","L","R","SAC","SL","S",2,"",0,2,2024,-1.27,0.4,0.52,1.65,NA,665998,682617,2,6,"Bot",NA,NA,NA,NA,595453,NA,NA,7.28658279463383,-123.489219558732,-3.64542125478538,-14.4562610645399,25.6120075893884,-27.5721861329963,3.39,1.71,NA,NA,NA,85.2,1758,6.6,751669,669721,595453,800685,670869,641779,605346,641531,669326,677941,53.89,NA,0,0,1,0,0,NA,44,3,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",233,-0.089,-0.254,NA,NA,"San Francisco Giants","Los Angeles Angels"
"FF",2024-03-31,92,-1.21,5.68,"Daniel, Davis",666165,669721,"","called_strike",NA,NA,NA,NA,6,"Blake Sabol called out on strikes.","R","L","R","SAC","SL","S",NA,"",0,1,2024,-0.78,1.27,0.78,2.58,NA,665998,682617,2,6,"Bot",NA,NA,NA,NA,595453,NA,NA,6.76032257904757,-133.80782629614,-4.80604436422601,-10.8711216031755,29.4027899388863,-16.01739312387,3.39,1.71,NA,NA,NA,92.3,2219,6.6,751669,669721,595453,800685,670869,641779,605346,641531,669326,677941,53.95,NA,NA,NA,NA,NA,NA,NA,44,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",211,0,-0.12,NA,NA,"San Francisco Giants","Los Angeles Angels"
"FF",2024-03-31,91.2,-1.34,5.59,"Daniel, Davis",666165,669721,"","foul",NA,NA,NA,NA,4,"Blake Sabol called out on strikes.","R","L","R","SAC","SL","S",NA,"",0,0,2024,-0.68,1.33,-0.3,2.76,NA,665998,682617,2,6,"Bot",NA,NA,NA,NA,595453,NA,NA,4.11489428413669,-132.85518152519,-4.17234990880118,-8.9008003173387,26.5441383530453,-15.6459715705992,3.39,1.71,219,85.3,57,92.1,2038,6.6,751669,669721,595453,800685,670869,641779,605346,641531,669326,677941,53.87,NA,NA,NA,NA,NA,NA,NA,44,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",202,0,-0.099,NA,NA,"San Francisco Giants","Los Angeles Angels"
"FF",2024-03-31,91.6,-1.14,5.64,"Daniel, Davis",681584,669721,"strikeout","foul_tip",NA,NA,NA,NA,4,"David Villar strikes out on a foul tip.","R","R","R","SAC","SL","S",2,"",1,2,2024,-0.71,1.37,-0.55,2.35,NA,665998,682617,1,6,"Bot",NA,NA,NA,NA,595453,NA,NA,3.05435581285992,-133.34889428579,-5.51194008472326,-9.10194476404131,25.8313097012862,-14.7713696393153,3.25,1.64,NA,NA,NA,92.8,2102,6.7,751669,669721,595453,800685,670869,641779,605346,641531,669326,677941,53.77,NA,0,0,1,0,0,NA,43,4,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",205,-0.078,-0.347,NA,NA,"San Francisco Giants","Los Angeles Angels"
"FF",2024-03-31,92.8,-1.32,5.6,"Daniel, Davis",681584,669721,"","ball",NA,NA,NA,NA,12,"David Villar strikes out on a foul tip.","R","R","R","SAC","SL","B",NA,"",0,2,2024,-0.47,1.51,1.39,2.65,NA,665998,682617,1,6,"Bot",NA,NA,NA,NA,595453,NA,NA,7.99104381598878,-134.912079348741,-5.10842761876458,-7.42016870652415,27.4954458027118,-12.7991466504636,3.25,1.64,NA,NA,NA,93.5,2154,6.6,751669,669721,595453,800685,670869,641779,605346,641531,669326,677941,53.87,NA,NA,NA,NA,NA,NA,NA,43,3,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",209,0,0.077,NA,NA,"San Francisco Giants","Los Angeles Angels"
"FF",2024-03-31,90.7,-1.21,5.66,"Daniel, Davis",681584,669721,"","called_strike",NA,NA,NA,NA,6,"David Villar strikes out on a foul tip.","R","R","R","SAC","SL","S",NA,"",0,1,2024,-0.48,1.35,0.56,2.4,NA,665998,682617,1,6,"Bot",NA,NA,NA,NA,595453,NA,NA,5.48919752769907,-132.102024622082,-5.24677571432448,-6.61786710940953,23.4390615370951,-15.430283151809,3.25,1.64,NA,NA,NA,92,2147,6.7,751669,669721,595453,800685,670869,641779,605346,641531,669326,677941,53.84,NA,NA,NA,NA,NA,NA,NA,43,2,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard",204,0,-0.126,NA,NA,"San Francisco Giants","Los Angeles Angels"
"CH",2024-03-31,81.4,1.64,6.17,"Carpenter, Ryan",656541,543001,"single","hit_into_play",NA,NA,NA,NA,5,"Sam Hilliard singles on a ground ball to second baseman Matthew Batten.   Jordan Beck scores.","R","L","L","ABQ","ELP","X",4,"ground_ball",2,1,2024,0.57,0.45,-0.2,2.36,687597,NA,NA,2,5,"Bot",134.26,156.27,NA,NA,608700,NA,NA,-5.25426795471419,-118.726552754752,-3.01579146014725,6.26413772633882,16.83321802369,-27.5421615776053,3.43,1.73,7,69.4,-20,82.7,1527,6.5,752117,543001,608700,664954,676946,687867,669200,672359,641796,668751,54.02,0.06,0.068,0.9,1,1,0,2,45,4,"Changeup",3,3,3,3,3,4,4,3,"Standard","Standard",131,0.136,0.823,NA,NA,"Colorado Rockies","San Diego Padres"
"SI",2024-03-31,89.3,-0.76,6.46,"Elder, Bryce",667472,693821,"field_out","hit_into_play",NA,NA,NA,NA,4,"Dane Myers flies out to center fielder J.  P. Martínez.","R","R","R","JAX","GWN","X",8,"fly_ball",3,1,2024,-1.04,0.85,-0.35,2.31,NA,NA,687859,0,7,"Bot",110.26,43.7,NA,NA,592205,NA,NA,3.18189969427786,-129.914462557519,-5.94632673241373,-12.4863219638248,27.5383982314318,-21.5476977375143,3.21,1.62,385,99.5,27,88.8,NA,6,753091,693821,592205,595943,664058,664670,623205,544725,679881,621450,54.48,0.474,0.849,0,1,0,0,6,59,5,"Sinker",0,10,0,10,10,0,0,10,"Standard","Standard",NA,-0.001,-0.706,NA,NA,"Miami Marlins","Atlanta Braves"
"SI",2024-03-31,89.3,-0.83,6.43,"Elder, Bryce",667472,693821,"","ball",NA,NA,NA,NA,14,"Dane Myers flies out to center fielder J.  P. Martínez.","R","R","R","JAX","GWN","B",NA,"",2,1,2024,-1.35,0.79,1.35,0.91,NA,NA,687859,0,7,"Bot",NA,NA,NA,NA,592205,NA,NA,8.16572661444966,-129.54804241496,-9.11792891322801,-16.9648651905927,29.4188481950801,-21.3918816043609,3.21,1.62,NA,NA,NA,88.5,NA,6.2,753091,693821,592205,595943,664058,664670,623205,544725,679881,621450,54.33,NA,NA,NA,NA,NA,NA,NA,59,4,"Sinker",0,10,0,10,10,0,0,10,"Standard","Standard",NA,0,0.205,NA,NA,"Miami Marlins","Atlanta Braves"
"SL",2024-03-31,84.4,-2.04,6.34,"Rutledge, Jackson",682668,671131,"strikeout","swinging_strike",NA,NA,NA,NA,14,"Luisangel Acuña strikes out swinging.","R","R","R","SYR","ROC","S",2,"",2,2,2024,0.31,-0.11,0.19,1.25,NA,578428,676625,2,5,"Bot",NA,NA,NA,NA,686251,NA,NA,4.56303570656715,-122.95259226981,-5.38773932523745,2.43331982346043,20.4860712918331,-32.6028881046928,3.02,1.53,NA,NA,NA,85.1,2034,6.3,752338,671131,686251,660766,671117,666906,686639,695578,696285,663905,54.16,NA,0,0,1,0,0,NA,45,5,"Slider",1,5,1,5,5,1,1,5,"Standard","Standard",119,-0.034,-0.392,NA,NA,"New York Mets","Washington Nationals"
